Entity,Code,2011,2024,Prevalence_Change,Percent_Change
Pakistan,PAK,7.9,31.4,23.5,297.46835443037975
Samoa,WSM,7.7,25.4,17.7,229.87012987012986
French Polynesia,PYF,8.6,22.8,14.200000000000001,165.11627906976747
New Caledonia,NCL,8.6,22.0,13.4,155.8139534883721
Guam,GUM,8.6,20.3,11.700000000000001,136.046511627907
Algeria,DZA,7.0,17.5,10.5,150.0
Sudan,SDN,8.6,19.0,10.4,120.93023255813955
Dominican Republic,DOM,8.1,17.6,9.500000000000002,117.28395061728398
Syria,SYR,9.9,19.0,9.1,91.91919191919192
Malaysia,MYS,12.1,21.1,9.000000000000002,74.38016528925621
Turkey,TUR,7.9,16.5,8.6,108.86075949367087
Argentina,ARG,5.5,14.0,8.5,154.54545454545453
Jordan,JOR,12.1,20.5,8.4,69.42148760330579
Palau,PLW,11.1,19.3,8.200000000000001,73.87387387387389
Albania,ALB,2.8,10.6,7.8,278.5714285714286
Azerbaijan,AZE,2.8,10.2,7.3999999999999995,264.2857142857143
Tanzania,TZA,2.8,9.8,7.000000000000001,250.00000000000006
Tonga,TON,12.7,19.6,6.900000000000002,54.33070866141734
Sao Tome and Principe,STP,5.5,12.1,6.6,120.0
Tunisia,TUN,9.5,16.0,6.5,68.42105263157895
Oman,OMN,10.5,17.0,6.5,61.904761904761905
Papua New Guinea,PNG,7.6,14.1,6.5,85.52631578947368
Palestine,PSE,9.2,15.5,6.300000000000001,68.47826086956523
Bhutan,BTN,5.7,12.0,6.3,110.52631578947367
Indonesia,IDN,5.1,11.3,6.200000000000001,121.56862745098043
Benin,BEN,2.0,8.1,6.1,305.0
Liberia,LBR,3.3,9.2,5.8999999999999995,178.78787878787878
Egypt,EGY,16.6,22.4,5.799999999999997,34.93975903614456
Fiji,FJI,10.9,16.6,5.700000000000001,52.29357798165138
Zambia,ZMB,4.8,10.3,5.500000000000001,114.58333333333334
Saint Kitts and Nevis,KNA,8.5,13.8,5.300000000000001,62.3529411764706
Mauritius,MUS,14.8,20.1,5.300000000000001,35.810810810810814
Croatia,HRV,5.2,10.5,5.3,101.92307692307692
Morocco,MAR,6.8,11.9,5.1000000000000005,75.00000000000001
Kuwait,KWT,20.7,25.6,4.900000000000002,23.671497584541072
Suriname,SUR,8.9,13.8,4.9,55.0561797752809
Eswatini,SWZ,3.1,7.9,4.800000000000001,154.83870967741936
Qatar,QAT,19.8,24.6,4.800000000000001,24.242424242424246
Andorra,AND,5.4,10.1,4.699999999999999,87.03703703703701
Cambodia,KHM,2.9,7.5,4.6,158.62068965517238
Democratic Republic of Congo,COD,3.1,7.7,4.6,148.38709677419354
Turkmenistan,TKM,2.7,7.1,4.3999999999999995,162.96296296296293
Central African Republic,CAF,3.2,7.6,4.3999999999999995,137.49999999999997
Iraq,IRQ,9.1,13.4,4.300000000000001,47.25274725274726
United States,USA,9.4,13.7,4.299999999999999,45.74468085106382
Brunei,BRN,9.4,13.7,4.299999999999999,45.74468085106382
Nepal,NPL,3.6,7.7,4.1,113.88888888888889
Afghanistan,AFG,7.6,11.7,4.1,53.94736842105263
Dominica,DMA,8.9,12.9,4.0,44.9438202247191
Equatorial Guinea,GNQ,4.2,8.2,3.999999999999999,95.23809523809521
Georgia,GEO,2.8,6.7,3.9000000000000004,139.2857142857143
Marshall Islands,MHL,21.8,25.7,3.8999999999999986,17.889908256880727
Guatemala,GTM,9.3,13.2,3.8999999999999986,41.93548387096772
Iceland,ISL,3.2,6.9,3.7,115.625
Moldova,MDA,2.7,6.3,3.5999999999999996,133.33333333333331
Vanuatu,VUT,16.1,19.7,3.599999999999998,22.360248447204953
Gambia,GMB,2.0,5.5,3.5,175.0
Saudi Arabia,SAU,19.6,23.1,3.5,17.857142857142854
Micronesia (country),FSM,15.7,19.2,3.5,22.29299363057325
Laos,LAO,3.3,6.7,3.4000000000000004,103.03030303030305
Malta,MLT,6.6,10.0,3.4000000000000004,51.51515151515152
Chad,TCD,3.9,7.3,3.4,87.17948717948718
Spain,ESP,6.3,9.7,3.3999999999999995,53.96825396825397
El Salvador,SLV,9.4,12.7,3.299999999999999,35.106382978723396
Mongolia,MNG,7.1,10.3,3.200000000000001,45.070422535211286
Ukraine,UKR,2.9,6.0,3.1,106.89655172413795
San Marino,SMR,5.5,8.6,3.0999999999999996,56.36363636363636
China,CHN,8.8,11.9,3.0999999999999996,35.22727272727272
Saint Lucia,LCA,8.4,11.4,3.0,35.714285714285715
Montenegro,MNE,7.7,10.7,2.999999999999999,38.961038961038945
Greece,GRC,5.1,8.0,2.9000000000000004,56.86274509803923
Paraguay,PRY,6.5,9.4,2.9000000000000004,44.61538461538462
Mali,MLI,1.9,4.8,2.9,152.63157894736844
Bosnia and Herzegovina,BIH,7.5,10.3,2.8000000000000007,37.33333333333334
Lesotho,LSO,3.4,6.2,2.8000000000000003,82.3529411764706
Serbia,SRB,7.7,10.5,2.8,36.36363636363636
Grenada,GRD,8.6,11.3,2.700000000000001,31.395348837209312
